"","year","date","location","result","team","conf","opp","opp_conf","tpm","tpa","tp_pct","round"
"194",2023,2023-03-18,"N","W","UCLA","P12","Northwestern","P12",6,15,0.4,"2. ROUND OF 32"
"195",2023,2023-03-18,"N","L","Maryland","B10","Alabama","B10",1,8,0.125,"2. ROUND OF 32"
"196",2023,2023-03-18,"N","W","Alabama","SEC","Maryland","SEC",6,21,0.285714285714286,"2. ROUND OF 32"
"197",2023,2023-03-17,"N","L","UC Santa Barbara","BW","Baylor","BW",4,16,0.25,"1. ROUND OF 64"
"198",2023,2023-03-17,"N","W","Baylor","B12","UC Santa Barbara","B12",8,22,0.363636363636364,"1. ROUND OF 64"
"199",2023,2023-03-17,"N","L","Kennesaw St.","ASun","Xavier","ASun",5,19,0.263157894736842,"1. ROUND OF 64"
"200",2023,2023-03-17,"N","W","Xavier","BE","Kennesaw St.","BE",2,12,0.166666666666667,"1. ROUND OF 64"
"201",2023,2023-03-17,"N","L","VCU","A10","Saint Mary's","A10",5,14,0.357142857142857,"1. ROUND OF 64"
"202",2023,2023-03-17,"N","W","Saint Mary's","WCC","VCU","WCC",3,17,0.176470588235294,"1. ROUND OF 64"
"203",2023,2023-03-17,"N","L","Vermont","AE","Marquette","AE",8,25,0.32,"1. ROUND OF 64"
"204",2023,2023-03-17,"N","W","Marquette","BE","Vermont","BE",10,20,0.5,"1. ROUND OF 64"
"205",2023,2023-03-17,"N","L","North Carolina St.","ACC","Creighton","ACC",3,14,0.214285714285714,"1. ROUND OF 64"
"206",2023,2023-03-17,"N","W","Creighton","BE","North Carolina St.","BE",3,20,0.15,"1. ROUND OF 64"
"207",2023,2023-03-17,"N","W","Pittsburgh","ACC","Iowa St.","ACC",6,19,0.31578947368421,"1. ROUND OF 64"
"208",2023,2023-03-17,"N","L","Iowa St.","B12","Pittsburgh","B12",2,21,0.0952380952380952,"1. ROUND OF 64"
"209",2023,2023-03-17,"N","L","Iona","MAAC","Connecticut","MAAC",7,16,0.4375,"1. ROUND OF 64"
"210",2023,2023-03-17,"N","W","Connecticut","BE","Iona","BE",11,25,0.44,"1. ROUND OF 64"
"211",2023,2023-03-17,"N","L","Providence","BE","Kentucky","BE",5,24,0.208333333333333,"1. ROUND OF 64"
"212",2023,2023-03-17,"N","W","Kentucky","SEC","Providence","SEC",5,16,0.3125,"1. ROUND OF 64"
"213",2023,2023-03-17,"N","L","Drake","MVC","Miami FL","MVC",7,24,0.291666666666667,"1. ROUND OF 64"
"214",2023,2023-03-17,"N","W","Miami FL","ACC","Drake","ACC",6,18,0.333333333333333,"1. ROUND OF 64"
"215",2023,2023-03-17,"N","L","Grand Canyon","WAC","Gonzaga","WAC",9,24,0.375,"1. ROUND OF 64"
"216",2023,2023-03-17,"N","W","Gonzaga","WCC","Grand Canyon","WCC",7,15,0.466666666666667,"1. ROUND OF 64"
"217",2023,2023-03-17,"N","W","Fairleigh Dickinson","NEC","Purdue","NEC",7,23,0.304347826086957,"1. ROUND OF 64"
"218",2023,2023-03-17,"N","L","Purdue","B10","Fairleigh Dickinson","B10",5,26,0.192307692307692,"1. ROUND OF 64"
"219",2023,2023-03-17,"N","W","Florida Atlantic","CUSA","Memphis","CUSA",8,28,0.285714285714286,"1. ROUND OF 64"
"220",2023,2023-03-17,"N","L","Memphis","Amer","Florida Atlantic","Amer",6,22,0.272727272727273,"1. ROUND OF 64"
"221",2023,2023-03-17,"N","L","Montana St.","BSky","Kansas St.","BSky",6,21,0.285714285714286,"1. ROUND OF 64"
"222",2023,2023-03-17,"N","W","Kansas St.","B12","Montana St.","B12",4,15,0.266666666666667,"1. ROUND OF 64"
"223",2023,2023-03-17,"N","L","Arizona St.","P12","TCU","P12",8,17,0.470588235294118,"1. ROUND OF 64"
"224",2023,2023-03-17,"N","W","TCU","B12","Arizona St.","B12",8,23,0.347826086956522,"1. ROUND OF 64"
"225",2023,2023-03-17,"N","L","Kent St.","MAC","Indiana","MAC",7,21,0.333333333333333,"1. ROUND OF 64"
"226",2023,2023-03-17,"N","W","Indiana","B10","Kent St.","B10",5,14,0.357142857142857,"1. ROUND OF 64"
"227",2023,2023-03-17,"N","L","USC","P12","Michigan St.","P12",7,20,0.35,"1. ROUND OF 64"
"228",2023,2023-03-17,"N","W","Michigan St.","B10","USC","B10",5,14,0.357142857142857,"1. ROUND OF 64"
"229",2023,2023-03-16,"N","L","West Virginia","B12","Maryland","B12",8,19,0.421052631578947,"1. ROUND OF 64"
"230",2023,2023-03-16,"N","W","Maryland","B10","West Virginia","B10",6,18,0.333333333333333,"1. ROUND OF 64"
"231",2023,2023-03-16,"N","W","Furman","SC","Virginia","SC",10,28,0.357142857142857,"1. ROUND OF 64"
"232",2023,2023-03-16,"N","L","Virginia","ACC","Furman","ACC",2,12,0.166666666666667,"1. ROUND OF 64"
"233",2023,2023-03-16,"N","L","Utah St.","MWC","Missouri","MWC",4,24,0.166666666666667,"1. ROUND OF 64"
"234",2023,2023-03-16,"N","W","Missouri","SEC","Utah St.","SEC",10,25,0.4,"1. ROUND OF 64"
"235",2023,2023-03-16,"N","L","Howard","MEAC","Kansas","MEAC",10,32,0.3125,"1. ROUND OF 64"
"236",2023,2023-03-16,"N","W","Kansas","B12","Howard","B12",9,22,0.409090909090909,"1. ROUND OF 64"
"237",2023,2023-03-16,"N","L","College of Charleston","CAA","San Diego St.","CAA",5,24,0.208333333333333,"1. ROUND OF 64"
"238",2023,2023-03-16,"N","W","San Diego St.","MWC","College of Charleston","MWC",4,16,0.25,"1. ROUND OF 64"
"239",2023,2023-03-16,"N","W","Princeton","Ivy","Arizona","Ivy",4,25,0.16,"1. ROUND OF 64"
"240",2023,2023-03-16,"N","L","Arizona","P12","Princeton","P12",3,16,0.1875,"1. ROUND OF 64"
"241",2023,2023-03-16,"N","L","Texas A&M Corpus Chris","Slnd","Alabama","Slnd",7,20,0.35,"1. ROUND OF 64"
"242",2023,2023-03-16,"N","W","Alabama","SEC","Texas A&M Corpus Chris","SEC",15,33,0.454545454545455,"1. ROUND OF 64"
"243",2023,2023-03-16,"N","L","Illinois","B10","Arkansas","B10",6,22,0.272727272727273,"1. ROUND OF 64"
